customer_id,signup_date,region,acquisition_channel,loyalty_tier
C002541,2024-01-26,West,Paid Search,None
C002545,2024-08-01,North,Organic,None
C002551,2025-08-18,East,Organic,None
C002566,2023-07-20,East,Paid Search,None
C002587,2022-08-19,South,Paid Search,Silver
C002615,2024-10-28,West,Referral,None
C002618,2022-10-15,East,Organic,None
C002633,2023-01-12,West,Email,Silver
C002716,2023-11-30,East,Paid Social,Gold
C002740,2022-10-21,North,Paid Social,None
C002779,2023-03-08,South,Organic,Gold
C002787,2024-05-23,East,Paid Search,Gold
C002796,2025-07-06,North,Paid Social,None
C002809,2022-08-21,South,Paid Search,None
C002813,2023-10-13,South,Referral,None
C002814,2023-06-18,West,Organic,Silver
C002851,2022-01-28,North,Referral,None
C002857,2022-10-17,South,Paid Social,Gold
C002879,2023-12-29,South,Paid Search,Silver
C002914,2023-07-26,North,Organic,None
C002926,2023-10-23,East,Paid Social,Gold
C002935,2025-04-29,North,Paid Search,Gold
C002950,2025-05-31,North,Organic,None
C002955,2024-09-11,North,Email,None
C002958,2024-04-08,West,Organic,None
C002982,2023-09-13,East,Paid Search,Gold
C002988,2025-07-24,South,Organic,None
C002994,2022-12-15,East,Organic,None
C002995,2025-03-16,West,Paid Social,Silver
C002997,2023-09-15,South,Organic,Silver
