order_id,line_number,product_id,quantity,unit_price,unit_cost,discount_pct
O0000070,2,P0050,1,69.64,42.47,0.1400
O0000071,1,P0102,1,34.66,20.91,0.0000
O0000071,2,P0053,1,39.85,22.00,0.0000
O0000071,3,P0048,2,54.83,27.51,0.0000
O0000072,1,P0004,1,219.48,127.02,0.2100
O0000072,2,P0089,1,40.03,19.16,0.1100
O0000072,3,P0027,2,43.12,25.71,0.1100
O0000073,1,P0087,1,34.14,22.68,0.0800
O0000073,2,P0013,2,139.47,77.75,0.0300
O0000073,3,P0101,2,38.41,19.90,0.0300
O0000074,1,P0091,1,58.37,30.78,0.0900
O0000074,2,P0023,2,155.02,73.26,0.0900
O0000075,1,P0109,2,84.17,46.86,0.0300
O0000076,1,P0105,2,33.90,20.54,0.0300
O0000076,2,P0047,2,86.60,37.99,0.0300
O0000077,1,P0039,1,90.74,61.42,0.0000
O0000078,1,P0064,1,60.36,27.47,0.0000
O0000078,2,P0003,1,77.61,37.21,0.0000
O0000078,3,P0080,2,25.95,13.59,0.0500
O0000078,4,P0115,1,48.34,28.65,0.0000
O0000079,1,P0071,1,41.09,19.79,0.0300
O0000080,1,P0066,2,37.28,18.95,0.0000
O0000081,1,P0117,1,72.90,47.01,0.0300
O0000082,1,P0020,1,195.26,108.35,0.0900
O0000083,1,P0059,1,70.00,46.45,0.1800
O0000083,2,P0081,1,43.50,21.43,0.0800
O0000083,3,P0112,1,43.54,30.11,0.1800
O0000084,1,P0091,1,58.96,30.78,0.0000
O0000084,2,P0064,1,60.64,27.47,0.0000
O0000084,3,P0078,1,30.59,16.10,0.0500
O0000085,1,P0042,1,49.06,33.91,0.0800
O0000086,1,P0001,1,205.45,94.74,0.1800
O0000087,1,P0096,1,57.58,39.26,0.0000
O0000088,1,P0058,2,31.30,16.03,0.0000
O0000088,2,P0046,1,85.91,60.85,0.0000
O0000088,3,P0096,1,57.31,39.26,0.0000
O0000089,1,P0097,1,97.06,64.10,0.0000
O0000090,1,P0023,1,152.02,73.26,0.0000
O0000090,2,P0020,1,198.27,108.35,0.0000
O0000091,1,P0110,1,34.27,20.23,0.2600
O0000092,1,P0040,1,92.78,52.77,0.1000
O0000093,1,P0009,1,151.19,79.85,0.0000
O0000093,2,P0003,1,74.58,37.21,0.0000
O0000093,3,P0058,2,32.23,16.03,0.0000
O0000093,4,P0048,1,53.88,27.51,0.0000
O0000094,1,P0079,2,44.86,19.58,0.0900
O0000094,2,P0031,2,64.95,43.21,0.0900
O0000095,1,P0009,1,155.25,79.85,0.0900
O0000095,2,P0058,1,32.21,16.03,0.0900
O0000096,1,P0041,1,34.65,20.50,0.0600
O0000097,1,P0068,1,69.08,43.92,0.0600
O0000097,2,P0103,2,70.41,46.07,0.1100
O0000097,3,P0065,1,76.66,43.50,0.1100
O0000098,1,P0021,1,157.29,114.77,0.0300
O0000099,1,P0016,1,128.28,90.54,0.0300
O0000099,2,P0007,1,123.22,67.06,0.0300
O0000099,3,P0112,1,44.41,30.11,0.0300
O0000099,4,P0042,2,48.03,33.91,0.0800
O0000100,1,P0092,1,31.33,15.08,0.0000
O0000101,1,P0083,1,61.45,33.02,0.0000
O0000101,2,P0102,2,34.60,20.91,0.0000
O0000102,1,P0006,1,185.11,115.89,0.0000
O0000103,1,P0086,1,52.56,28.17,0.0300
O0000103,2,P0092,1,30.62,15.08,0.0300
O0000104,1,P0028,1,58.56,26.52,0.0500
O0000105,1,P0115,1,47.63,28.65,0.0500
O0000106,1,P0014,1,189.32,110.57,0.0000
O0000107,1,P0007,1,125.13,67.06,0.0300
O0000108,1,P0093,1,29.98,19.10,0.0000
O0000109,1,P0010,2,117.26,53.63,0.0600
O0000109,2,P0079,2,45.84,19.58,0.0600
O0000109,3,P0014,1,193.58,110.57,0.0600
O0000110,1,P0039,1,90.91,61.42,0.0000
O0000110,2,P0099,1,49.22,23.38,0.0000
O0000111,1,P0002,1,157.42,104.17,0.0300
O0000111,2,P0015,1,130.12,88.34,0.0300
O0000112,1,P0004,1,212.17,127.02,0.0300
O0000112,2,P0005,3,85.60,41.91,0.0300
O0000113,1,P0031,2,63.74,43.21,0.2300
O0000113,2,P0089,2,39.82,19.16,0.1800
O0000113,3,P0058,1,31.42,16.03,0.2300
O0000114,1,P0082,1,47.98,31.24,0.1400
O0000115,1,P0119,1,46.06,21.04,0.0600
O0000116,1,P0103,1,70.99,46.07,0.1100
O0000117,1,P0022,1,122.46,76.02,0.0000
O0000117,2,P0095,1,33.10,18.32,0.0000
O0000118,1,P0097,3,95.75,64.10,0.0900
O0000119,1,P0064,2,60.14,27.47,0.0000
O0000119,2,P0019,1,129.66,63.34,0.0000
O0000120,1,P0009,1,151.47,79.85,0.0500
O0000120,2,P0033,1,50.72,35.00,0.1500
O0000121,1,P0005,1,89.07,41.91,0.0800
O0000121,2,P0064,2,60.99,27.47,0.0300
O0000122,1,P0098,1,91.77,52.70,0.1000
O0000122,2,P0116,1,76.13,42.35,0.0500
O0000122,3,P0012,1,175.78,92.84,0.1500
O0000122,4,P0061,2,47.13,25.04,0.1000
O0000123,1,P0084,1,43.93,21.04,0.0000
O0000123,2,P0093,1,29.75,19.10,0.0000
O0000123,3,P0007,1,121.73,67.06,0.0000
O0000124,1,P0116,1,73.77,42.35,0.0300
O0000124,2,P0023,2,155.75,73.26,0.0300
O0000124,3,P0099,1,49.12,23.38,0.0300
O0000125,1,P0115,1,47.54,28.65,0.0300
O0000125,2,P0089,1,40.33,19.16,0.0300
O0000126,1,P0004,1,215.40,127.02,0.0000
O0000127,1,P0075,1,37.01,21.01,0.0500
O0000127,2,P0053,1,40.07,22.00,0.0000
O0000128,1,P0018,1,140.08,75.10,0.0000
O0000128,2,P0041,1,33.29,20.50,0.0000
O0000128,3,P0118,1,55.22,33.64,0.0000
O0000129,1,P0022,1,122.66,76.02,0.1000
O0000130,1,P0025,1,66.25,42.84,0.0600
O0000131,1,P0112,1,45.15,30.11,0.0300
O0000132,1,P0099,1,47.73,23.38,0.1300
O0000132,2,P0083,2,60.41,33.02,0.1300
O0000133,1,P0076,2,30.14,19.27,0.0300
O0000133,2,P0089,1,38.87,19.16,0.0300
O0000133,3,P0072,1,44.96,24.04,0.0300
O0000134,1,P0042,1,48.09,33.91,0.0300
O0000134,2,P0117,2,71.21,47.01,0.0300
O0000134,3,P0031,1,64.11,43.21,0.0300
O0000135,1,P0060,1,30.07,14.21,0.0800
O0000136,1,P0048,1,54.65,27.51,0.0000
O0000136,2,P0032,1,84.07,39.83,0.0000
O0000136,3,P0051,1,55.53,23.81,0.0000
O0000137,1,P0054,1,72.00,46.65,0.0000
O0000137,2,P0026,1,89.60,47.15,0.0000
O0000138,1,P0071,1,39.09,19.79,0.0000
O0000139,1,P0036,1,46.42,31.77,0.0000
O0000139,2,P0037,1,40.44,22.72,0.0000
O0000140,1,P0021,1,165.66,114.77,0.0300
O0000140,2,P0012,2,175.10,92.84,0.0300
O0000141,1,P0001,1,203.33,94.74,0.0000
O0000142,1,P0114,1,69.98,31.55,0.0300
O0000143,1,P0065,1,76.46,43.50,0.0300
O0000144,1,P0041,1,34.31,20.50,0.0300
O0000145,1,P0003,1,75.39,37.21,0.1600
O0000145,2,P0050,1,67.75,42.47,0.2100
O0000146,1,P0083,1,58.60,33.02,0.0000
O0000146,2,P0067,1,39.80,22.62,0.0500
O0000146,3,P0077,1,47.55,22.31,0.0000
O0000147,1,P0056,1,52.32,32.89,0.0900
O0000148,1,P0112,2,45.01,30.11,0.0000
O0000148,2,P0111,2,71.60,33.21,0.0000
O0000149,1,P0048,1,53.60,27.51,0.1500
O0000149,2,P0093,1,29.15,19.10,0.0500
O0000150,1,P0107,2,85.49,54.93,0.1000
O0000150,2,P0048,1,54.78,27.51,0.0500
O0000150,3,P0074,1,23.61,14.68,0.1000
O0000151,1,P0083,1,61.07,33.02,0.0600
O0000151,2,P0067,1,40.52,22.62,0.0600
O0000152,1,P0048,1,54.14,27.51,0.0300
O0000152,2,P0108,1,79.47,40.27,0.0300
O0000153,1,P0018,2,139.47,75.10,0.0000
O0000153,2,P0084,2,43.24,21.04,0.0000
O0000154,1,P0115,1,47.34,28.65,0.0000
O0000154,2,P0082,2,49.43,31.24,0.0000
O0000154,3,P0119,1,46.24,21.04,0.0000
O0000155,1,P0019,1,129.73,63.34,0.1100
O0000155,2,P0096,1,56.33,39.26,0.1100
O0000155,3,P0092,2,30.69,15.08,0.0600
O0000155,4,P0072,1,44.96,24.04,0.1100
O0000156,1,P0096,1,55.48,39.26,0.0600
O0000156,2,P0073,2,30.07,20.90,0.0600
O0000157,1,P0002,3,151.17,104.17,0.0800
O0000158,1,P0101,1,37.85,19.90,0.0800
O0000158,2,P0009,1,151.34,79.85,0.1300
O0000159,1,P0088,2,37.60,18.26,0.2100
O0000160,1,P0076,1,29.22,19.27,0.1000
O0000161,1,P0053,1,39.84,22.00,0.0900
O0000161,2,P0096,1,58.18,39.26,0.0900
O0000162,1,P0004,2,213.12,127.02,0.1100
O0000162,2,P0043,3,36.89,20.93,0.1600
O0000163,1,P0011,2,195.91,139.39,0.1100
O0000164,1,P0108,1,81.94,40.27,0.0000
O0000165,1,P0001,2,207.18,94.74,0.0500
O0000166,1,P0021,1,158.41,114.77,0.1100
O0000166,2,P0083,1,60.88,33.02,0.1600
O0000166,3,P0100,1,81.44,44.41,0.1600
O0000167,1,P0027,1,42.00,25.71,0.0000
O0000167,2,P0031,1,62.16,43.21,0.0000
O0000168,1,P0016,2,131.06,90.54,0.0000
O0000169,1,P0045,1,29.18,17.89,0.0500
O0000170,1,P0042,1,50.02,33.91,0.0300
O0000170,2,P0058,1,32.47,16.03,0.0300
O0000171,1,P0113,3,35.96,24.32,0.0000
O0000172,1,P0081,1,42.09,21.43,0.0900
O0000172,2,P0047,1,85.98,37.99,0.0900
O0000173,1,P0068,3,69.87,43.92,0.0000
O0000174,1,P0006,1,181.61,115.89,0.0300
O0000174,2,P0037,2,41.22,22.72,0.0300
O0000175,1,P0115,1,46.99,28.65,0.0800
O0000176,1,P0051,1,53.12,23.81,0.0800
O0000177,1,P0082,1,47.05,31.24,0.0300
O0000177,2,P0101,3,38.23,19.90,0.0300
O0000178,1,P0002,1,151.65,104.17,0.0000
O0000178,2,P0088,1,39.10,18.26,0.0500
O0000179,1,P0120,1,37.09,17.87,0.0300
O0000180,1,P0035,1,86.31,46.24,0.0000
O0000180,2,P0023,2,155.49,73.26,0.0000
O0000181,1,P0104,1,98.76,69.32,0.0600
O0000182,1,P0062,1,76.04,50.73,0.0000
O0000182,2,P0119,1,44.29,21.04,0.0000
O0000183,1,P0096,2,56.86,39.26,0.0300
O0000183,2,P0030,1,85.10,53.15,0.0300
O0000183,3,P0107,2,85.56,54.93,0.0800
O0000183,4,P0085,1,32.31,15.20,0.0800
O0000184,1,P0077,2,47.20,22.31,0.1500
O0000184,2,P0067,3,39.54,22.62,0.1500
O0000184,3,P0072,2,44.40,24.04,0.1500
O0000185,1,P0020,2,205.93,108.35,0.0600
O0000185,2,P0036,1,46.75,31.77,0.0600
O0000185,3,P0044,1,89.91,39.35,0.1100
O0000186,1,P0074,1,23.53,14.68,0.0600
O0000187,1,P0071,2,41.04,19.79,0.0900
O0000187,2,P0120,1,36.46,17.87,0.0900
O0000187,3,P0074,2,24.46,14.68,0.0900
O0000188,1,P0001,1,200.67,94.74,0.0300
O0000188,2,P0014,1,193.84,110.57,0.0300
O0000188,3,P0115,1,46.57,28.65,0.0300
O0000189,1,P0091,1,59.27,30.78,0.0000
O0000190,1,P0025,1,65.53,42.84,0.0500
O0000190,2,P0064,1,60.95,27.47,0.0000
O0000191,1,P0110,2,32.86,20.23,0.0000
O0000192,1,P0075,1,37.07,21.01,0.0900
O0000192,2,P0016,1,126.39,90.54,0.1400
O0000192,3,P0086,1,53.33,28.17,0.0900
O0000193,1,P0083,2,59.65,33.02,0.0900
O0000194,1,P0046,1,86.94,60.85,0.0000
O0000195,1,P0101,2,37.77,19.90,0.0500
O0000196,1,P0098,1,91.33,52.70,0.1000
O0000196,2,P0068,1,70.81,43.92,0.1500
O0000197,1,P0083,1,59.81,33.02,0.0600
O0000197,2,P0120,1,37.47,17.87,0.1100
O0000198,1,P0033,1,51.37,35.00,0.0000
O0000198,2,P0104,1,97.61,69.32,0.0000
O0000198,3,P0032,1,83.68,39.83,0.0000
O0000199,1,P0014,1,191.92,110.57,0.0300
O0000200,1,P0049,1,64.20,30.32,0.0000
O0000201,1,P0089,1,39.21,19.16,0.0000
O0000201,2,P0010,2,115.82,53.63,0.0000
O0000202,1,P0013,1,143.74,77.75,0.0500
O0000203,1,P0012,1,180.44,92.84,0.0300
O0000203,2,P0104,2,97.30,69.32,0.0300
O0000204,1,P0065,1,74.96,43.50,0.0000
O0000205,1,P0081,1,41.58,21.43,0.0600
O0000205,2,P0074,1,24.25,14.68,0.0600
O0000206,1,P0117,1,72.69,47.01,0.0600
O0000207,1,P0005,1,90.08,41.91,0.0000
O0000208,1,P0022,1,126.54,76.02,0.0300
O0000208,2,P0035,1,88.81,46.24,0.0300
O0000209,1,P0079,2,44.20,19.58,0.0000
O0000210,1,P0099,1,48.91,23.38,0.0300
O0000211,1,P0075,2,36.96,21.01,0.0800
O0000211,2,P0092,2,30.00,15.08,0.0300
O0000211,3,P0095,1,32.61,18.32,0.0300
O0000212,1,P0023,1,158.97,73.26,0.0000
O0000213,1,P0070,1,66.50,32.10,0.0000
O0000213,2,P0011,1,191.20,139.39,0.0000
O0000214,1,P0096,2,55.24,39.26,0.0000
O0000215,1,P0078,1,29.41,16.10,0.0000
O0000215,2,P0004,1,213.34,127.02,0.0000
O0000216,1,P0117,1,72.72,47.01,0.0300
O0000216,2,P0099,1,47.30,23.38,0.0300
O0000217,1,P0114,1,68.75,31.55,0.0600
O0000217,2,P0032,1,81.79,39.83,0.0600
O0000218,1,P0022,2,120.29,76.02,0.0000
O0000219,1,P0059,1,72.79,46.45,0.0600
O0000219,2,P0080,2,26.80,13.59,0.0600
O0000220,1,P0114,2,69.48,31.55,0.0000
O0000220,2,P0072,1,45.30,24.04,0.0000
O0000221,1,P0068,1,67.96,43.92,0.0000
O0000221,2,P0083,1,60.71,33.02,0.0000
O0000222,1,P0003,1,76.41,37.21,0.0000
O0000223,1,P0038,1,42.55,25.93,0.0300
O0000223,2,P0081,1,41.61,21.43,0.0300
O0000223,3,P0050,2,68.22,42.47,0.0300
O0000224,1,P0111,1,74.57,33.21,0.1500
O0000224,2,P0038,2,42.20,25.93,0.1500
O0000225,1,P0089,1,38.79,19.16,0.1600
O0000226,1,P0094,1,50.04,31.73,0.0500
O0000227,1,P0031,1,62.11,43.21,0.0000
O0000227,2,P0076,1,29.02,19.27,0.0000
O0000227,3,P0012,1,173.30,92.84,0.0500
O0000227,4,P0081,1,43.08,21.43,0.0000
O0000228,1,P0002,1,158.59,104.17,0.0600
O0000228,2,P0117,1,72.79,47.01,0.0600
O0000229,1,P0077,2,48.30,22.31,0.0000
O0000229,2,P0016,1,130.57,90.54,0.0000
O0000229,3,P0093,1,28.39,19.10,0.0000
O0000230,1,P0030,1,87.51,53.15,0.0000
O0000231,1,P0019,1,130.67,63.34,0.0000
O0000231,2,P0010,1,113.19,53.63,0.0000
O0000232,1,P0056,3,53.24,32.89,0.0000
O0000233,1,P0008,1,180.27,97.13,0.0000
O0000233,2,P0067,1,39.31,22.62,0.0000
O0000233,3,P0114,1,69.73,31.55,0.0000
O0000234,1,P0024,1,155.83,112.25,0.1000
O0000234,2,P0056,2,53.57,32.89,0.1500
O0000235,1,P0102,3,35.09,20.91,0.0000
O0000235,2,P0068,1,71.12,43.92,0.0000
O0000236,1,P0086,1,52.49,28.17,0.0000
O0000237,1,P0003,1,74.32,37.21,0.0900
O0000238,1,P0049,2,65.41,30.32,0.0300
O0000238,2,P0112,1,45.50,30.11,0.0300
O0000239,1,P0073,1,29.69,20.90,0.1100
O0000240,1,P0024,2,153.38,112.25,0.0000
O0000241,1,P0072,1,44.79,24.04,0.0900
O0000241,2,P0061,1,47.78,25.04,0.0900
O0000242,1,P0086,1,54.54,28.17,0.0300
O0000243,1,P0001,2,207.06,94.74,0.0300
O0000244,1,P0052,2,50.28,32.91,0.0000
O0000244,2,P0076,1,29.94,19.27,0.0500
O0000245,1,P0013,1,140.33,77.75,0.0600
O0000245,2,P0087,1,34.26,22.68,0.0600
O0000245,3,P0107,1,85.58,54.93,0.0600
O0000246,1,P0110,3,32.80,20.23,0.0300
O0000246,2,P0004,1,212.45,127.02,0.0300
O0000246,3,P0107,1,84.90,54.93,0.0300
O0000247,1,P0043,1,36.82,20.93,0.0300
O0000247,2,P0106,1,48.10,24.88,0.0300
O0000247,3,P0110,1,33.83,20.23,0.0800
O0000248,1,P0081,1,42.76,21.43,0.0600
O0000248,2,P0019,1,131.49,63.34,0.0600
O0000249,1,P0017,1,88.14,45.12,0.0300
O0000250,1,P0120,1,35.62,17.87,0.0000
O0000250,2,P0078,2,29.32,16.10,0.0000
