product_id,product_name,category,subcategory,list_price,unit_cost
P0048,Storage 08,Home,Storage,54.43,27.51
P0049,Menswear 01,Apparel,Menswear,65.20,30.32
P0050,Menswear 02,Apparel,Menswear,68.76,42.47
P0051,Menswear 03,Apparel,Menswear,54.51,23.81
P0052,Menswear 04,Apparel,Menswear,51.37,32.91
P0053,Menswear 05,Apparel,Menswear,40.33,22.00
P0054,Menswear 06,Apparel,Menswear,71.45,46.65
P0056,Menswear 08,Apparel,Menswear,53.18,32.89
P0057,Womenswear 01,Apparel,Womenswear,48.30,22.51
P0058,Womenswear 02,Apparel,Womenswear,31.68,16.03
P0059,Womenswear 03,Apparel,Womenswear,71.62,46.45
P0060,Womenswear 04,Apparel,Womenswear,29.67,14.21
P0061,Womenswear 05,Apparel,Womenswear,47.38,25.04
P0062,Womenswear 06,Apparel,Womenswear,76.78,50.73
P0063,Womenswear 07,Apparel,Womenswear,35.45,16.24
P0064,Womenswear 08,Apparel,Womenswear,60.85,27.47
P0065,Footwear 01,Apparel,Footwear,75.97,43.50
P0066,Footwear 02,Apparel,Footwear,37.49,18.95
P0067,Footwear 03,Apparel,Footwear,40.46,22.62
P0068,Footwear 04,Apparel,Footwear,69.40,43.92
P0069,Footwear 05,Apparel,Footwear,56.51,34.04
P0070,Footwear 06,Apparel,Footwear,67.87,32.10
P0071,Footwear 07,Apparel,Footwear,40.06,19.79
P0072,Footwear 08,Apparel,Footwear,44.91,24.04
P0073,Skincare 01,Beauty,Skincare,29.69,20.90
P0074,Skincare 02,Beauty,Skincare,23.92,14.68
P0075,Skincare 03,Beauty,Skincare,37.68,21.01
P0076,Skincare 04,Beauty,Skincare,29.85,19.27
P0077,Skincare 05,Beauty,Skincare,47.22,22.31
P0078,Skincare 06,Beauty,Skincare,29.74,16.10
P0079,Skincare 07,Beauty,Skincare,44.69,19.58
P0080,Skincare 08,Beauty,Skincare,26.24,13.59
P0081,Fragrance 01,Beauty,Fragrance,42.41,21.43
P0082,Fragrance 02,Beauty,Fragrance,48.35,31.24
P0083,Fragrance 03,Beauty,Fragrance,60.28,33.02
P0084,Fragrance 04,Beauty,Fragrance,43.89,21.04
P0085,Fragrance 05,Beauty,Fragrance,31.99,15.20
P0086,Fragrance 06,Beauty,Fragrance,54.05,28.17
P0087,Fragrance 07,Beauty,Fragrance,33.30,22.68
P0088,Fragrance 08,Beauty,Fragrance,38.11,18.26
P0089,Wellness 01,Beauty,Wellness,39.85,19.16
P0090,Wellness 02,Beauty,Wellness,55.99,24.31
P0091,Wellness 03,Beauty,Wellness,58.15,30.78
P0092,Wellness 04,Beauty,Wellness,30.47,15.08
P0093,Wellness 05,Beauty,Wellness,29.13,19.10
P0094,Wellness 06,Beauty,Wellness,51.30,31.73
P0095,Wellness 07,Beauty,Wellness,32.52,18.32
P0096,Wellness 08,Beauty,Wellness,56.66,39.26
P0097,Fitness 01,Sports,Fitness,94.93,64.10
P0098,Fitness 02,Sports,Fitness,90.55,52.70
P0099,Fitness 03,Sports,Fitness,47.83,23.38
P0100,Fitness 04,Sports,Fitness,81.40,44.41
P0101,Fitness 05,Sports,Fitness,37.86,19.90
P0102,Fitness 06,Sports,Fitness,35.42,20.91
P0103,Fitness 07,Sports,Fitness,71.43,46.07
P0104,Fitness 08,Sports,Fitness,97.44,69.32
P0105,Outdoor 01,Sports,Outdoor,34.56,20.54
P0106,Outdoor 02,Sports,Outdoor,49.34,24.88
P0107,Outdoor 03,Sports,Outdoor,87.19,54.93
P0108,Outdoor 04,Sports,Outdoor,80.36,40.27
P0109,Outdoor 05,Sports,Outdoor,83.35,46.86
P0110,Outdoor 06,Sports,Outdoor,33.35,20.23
P0111,Outdoor 07,Sports,Outdoor,72.75,33.21
P0112,Outdoor 08,Sports,Outdoor,44.88,30.11
P0113,Team Sports 01,Sports,Team Sports,35.15,24.32
P0114,Team Sports 02,Sports,Team Sports,70.49,31.55
P0115,Team Sports 03,Sports,Team Sports,47.77,28.65
P0116,Team Sports 04,Sports,Team Sports,75.01,42.35
P0117,Team Sports 05,Sports,Team Sports,71.59,47.01
P0118,Team Sports 06,Sports,Team Sports,54.80,33.64
P0119,Team Sports 07,Sports,Team Sports,45.37,21.04
P0120,Team Sports 08,Sports,Team Sports,36.67,17.87
