product_id,product_name,category,subcategory,revenue,gross_profit,units,orders
P0062,Womenswear 06,Apparel,Womenswear,22497.08,6821.54,309,236
P0068,Footwear 04,Apparel,Footwear,21827.24,7289.72,331,251
P0109,Outdoor 05,Sports,Outdoor,21820.16,8886.8,276,218
P0054,Menswear 06,Apparel,Menswear,21647.05,6812.36,318,246
P0050,Menswear 02,Apparel,Menswear,21465.68,7535.53,328,258
P0003,Audio 03,Electronics,Audio,21420.21,10294.4,299,236
P0111,Outdoor 07,Sports,Outdoor,20945.03,10849.18,304,241
P0025,Kitchen 01,Home,Kitchen,20830.84,6779.32,328,255
P0070,Footwear 06,Apparel,Footwear,20620.21,10380.31,319,260
P0083,Fragrance 03,Beauty,Fragrance,20469.98,8747.85,355,275
P0059,Womenswear 03,Apparel,Womenswear,20207.29,6458.06,296,231
P0031,Kitchen 07,Home,Kitchen,18429.4,5120.71,308,232
P0064,Womenswear 08,Apparel,Womenswear,18425.11,9744.6,316,249
P0090,Wellness 02,Beauty,Wellness,18177.02,9838.69,343,251
P0069,Footwear 05,Apparel,Footwear,18086.94,6649.5,336,251
P0028,Kitchen 04,Home,Kitchen,17550.85,9117.49,318,252
P0048,Storage 08,Home,Storage,17303.43,8115.08,334,254
P0033,Decor 01,Home,Decor,17267.66,4877.66,354,275
P0049,Menswear 01,Apparel,Menswear,16841.63,8624.91,271,221
P0096,Wellness 08,Beauty,Wellness,16812.86,4524.48,313,231
P0051,Menswear 03,Apparel,Menswear,16776.57,9062.14,324,256
P0086,Fragrance 06,Beauty,Fragrance,16755.4,7487.44,329,250
P0042,Storage 02,Home,Storage,16476.19,4404.24,356,274
P0094,Wellness 06,Beauty,Wellness,16314.52,5716.7,334,260
P0118,Team Sports 06,Sports,Team Sports,16258.27,5728.95,313,238
P0091,Wellness 03,Beauty,Wellness,16196.95,7209.19,292,227
P0052,Menswear 04,Apparel,Menswear,15830.79,5135.05,325,249
P0106,Outdoor 02,Sports,Outdoor,15765.61,7430.82,335,265
P0115,Team Sports 03,Sports,Team Sports,15592.07,5765.13,343,263
P0099,Fitness 03,Sports,Fitness,15563.05,7520.33,344,270
P0056,Menswear 08,Apparel,Menswear,15476.4,5477.84,304,242
P0029,Kitchen 05,Home,Kitchen,15350.3,4923.79,315,246
P0077,Skincare 05,Beauty,Skincare,14686.89,7369.21,328,248
P0027,Kitchen 03,Home,Kitchen,14465.73,5390.1,353,271
P0072,Footwear 08,Apparel,Footwear,14295.36,6266.0,334,246
P0036,Decor 04,Home,Decor,14212.47,3823.68,327,242
P0082,Fragrance 02,Beauty,Fragrance,14182.39,4560.48,308,235
P0088,Fragrance 08,Beauty,Fragrance,13869.24,6857.39,384,281
P0037,Decor 05,Home,Decor,13504.04,5506.6,352,271
P0055,Menswear 07,Apparel,Menswear,13241.5,4336.46,314,247
P0084,Fragrance 04,Beauty,Fragrance,13095.43,6530.95,312,237
P0119,Team Sports 07,Sports,Team Sports,12969.5,6678.54,299,240
P0071,Footwear 07,Apparel,Footwear,12941.97,6173.79,342,264
P0066,Footwear 02,Apparel,Footwear,12426.3,5774.85,351,264
P0038,Decor 06,Home,Decor,12351.27,4442.62,305,239
P0057,Womenswear 01,Apparel,Womenswear,12334.31,6279.1,269,212
P0067,Footwear 03,Apparel,Footwear,12183.65,4990.48,318,239
P0061,Womenswear 05,Apparel,Womenswear,12107.61,5371.85,269,219
P0089,Wellness 01,Beauty,Wellness,12018.92,5926.04,318,244
P0034,Decor 02,Home,Decor,12013.26,3172.56,330,260
P0112,Outdoor 08,Sports,Outdoor,11990.71,3469.58,283,217
P0081,Fragrance 01,Beauty,Fragrance,11895.47,5595.05,294,233
P0075,Skincare 03,Beauty,Skincare,11751.03,4838.74,329,254
P0053,Menswear 05,Apparel,Menswear,11728.13,4996.13,306,240
P0079,Skincare 07,Beauty,Skincare,11507.2,6201.02,271,217
P0102,Fitness 06,Sports,Fitness,11227.09,4284.97,332,257
P0095,Wellness 07,Beauty,Wellness,11136.21,4559.33,359,280
P0043,Storage 03,Home,Storage,10965.68,4435.53,312,231
P0120,Team Sports 08,Sports,Team Sports,10763.31,5223.58,310,244
P0101,Fitness 05,Sports,Fitness,10704.42,4853.82,294,224
P0105,Outdoor 01,Sports,Outdoor,10674.7,4019.75,324,244
P0113,Team Sports 01,Sports,Team Sports,10422.01,2858.49,311,245
P0063,Womenswear 07,Apparel,Womenswear,10304.75,5367.8,304,244
P0085,Fragrance 05,Beauty,Fragrance,9886.0,4930.8,326,255
P0041,Storage 01,Home,Storage,9496.16,3510.16,292,234
P0110,Outdoor 06,Sports,Outdoor,9394.06,3405.97,296,229
P0092,Wellness 04,Beauty,Wellness,9334.14,4463.3,323,245
P0087,Fragrance 07,Beauty,Fragrance,9216.79,2616.91,291,228
P0058,Womenswear 02,Apparel,Womenswear,8992.75,4167.71,301,232
P0078,Skincare 06,Beauty,Skincare,8889.01,3833.6,314,238
P0076,Skincare 04,Beauty,Skincare,8625.25,2786.44,303,245
P0073,Skincare 01,Beauty,Skincare,8616.85,2242.36,305,238
P0045,Storage 05,Home,Storage,8545.16,2909.81,315,252
P0093,Wellness 05,Beauty,Wellness,8408.35,2621.05,303,240
P0060,Womenswear 04,Apparel,Womenswear,7990.35,3940.49,285,230
P0080,Skincare 08,Beauty,Skincare,7094.66,3221.52,285,220
P0074,Skincare 02,Beauty,Skincare,6412.37,2272.61,282,231
